-0.220441   101.373   
-0.180361   101.995   
-0.140281   102.558   
-0.1002   103.022   
-0.0601202   103.352   
-0.0200401   103.524   
0.0200401   103.524   
0.0601202   103.352   
0.1002   103.022   
0.140281   102.558   
0.180361   101.995   
0.220441   101.373   
0.260521   100.732   
0.300601   100.112   
0.340681   99.5455   
0.380762   99.0566   
0.420842   98.6596   
0.460922   98.3583   
0.501002   98.1479   
0.541082   98.0168   
0.581162   97.9503   
0.621242   97.9332   
0.661323   97.9542   
0.701403   98.0073   
0.741483   98.0945   
0.781563   98.2256   
0.821643   98.417   
0.861723   98.6902   
0.901804   99.0679   
0.941884   99.5703   
0.981964   100.211   
1.02204   100.995   
1.06212   101.911   
1.1022   102.938   
1.14228   104.037   
1.18236   105.158   
1.22244   106.242   
1.26253   107.222   
1.30261   108.034   
1.34269   108.615   
1.38277   108.916   
1.42285   108.899   
1.46293   108.544   
1.50301   107.848   
1.54309   106.83   
1.58317   105.522   
1.62325   103.973   
1.66333   102.241   
1.70341   100.39   
1.74349   98.4875   
1.78357   96.597   
1.82365   94.7784   
1.86373   93.0846   
1.90381   91.5606   
1.94389   90.2439   
1.98397   89.1657   
2.02405   88.3518   
2.06413   87.8247   
2.10421   87.6051   
2.14429   87.712   
2.18437   88.1635   
2.22445   88.975   
2.26453   90.1579   
2.30461   91.7162   
2.34469   93.6441   
2.38477   95.9224   
2.42485   98.5159   
2.46493   101.372   
2.50501   104.418   
2.54509   107.566   
2.58517   110.713   
2.62525   113.742   
2.66533   116.534   
2.70541   118.969   
2.74549   120.935   
2.78557   122.335   
2.82565   123.092   
2.86573   123.153   
2.90581   122.495   
2.94589   121.126   
2.98597   119.082   
3.02605   116.427   
3.06613   113.249   
3.10621   109.656   
3.14629   105.765   
3.18637   101.704   
3.22645   97.5993   
3.26653   93.5744   
3.30661   89.743   
3.34669   86.2076   
3.38677   83.0564   
3.42685   80.363   
3.46693   78.186   
3.50701   76.5697   
3.54709   75.5451   
3.58717   75.1307   
3.62725   75.333   
3.66733   76.1475   
3.70741   77.558   
3.74749   79.5363   
3.78758   82.0417   
3.82766   85.0199   
3.86774   88.4027   
3.90782   92.1082   
3.9479   96.0415   
3.98798   100.096   
4.02806   104.159   
4.06814   108.111   
4.10822   111.833   
4.1483   115.215   
4.18838   118.155   
4.22846   120.569   
4.26854   122.397   
4.30862   123.6   
4.3487   124.17   
4.38878   124.125   
4.42886   123.51   
4.46894   122.396   
4.50902   120.87   
4.5491   119.034   
4.58918   116.998   
4.62926   114.87   
4.66934   112.752   
4.70942   110.735   
4.7495   108.89   
4.78958   107.266   
4.82966   105.893   
4.86974   104.774   
4.90982   103.893   
4.9499   103.212   
4.98998   102.682   
5.03006   102.243   
5.07014   101.83   
5.11022   101.379   
5.1503   100.83   
5.19038   100.134   
5.23046   99.2523   
5.27054   98.1616   
5.31062   96.852   
5.3507   95.3283   
5.39078   93.6088   
5.43086   91.723   
5.47094   89.7099   
5.51102   87.6156   
5.5511   85.4912   
5.59118   83.3906   
5.63126   81.3688   
5.67134   79.4808   
5.71142   77.7804   
5.7515   76.3197   
5.79158   75.1482   
5.83166   74.3125   
5.87174   73.8554   
5.91182   73.815   
5.9519   74.2235   
5.99198   75.1061   
6.03206   76.4785   
6.07214   78.346   
6.11222   80.7007   
6.1523   83.5211   
6.19238   86.77   
6.23246   90.3945   
6.27255   94.3265   
6.31263   98.4837   
6.35271   102.772   
6.39279   107.089   
6.43287   111.328   
6.47295   115.381   
6.51303   119.147   
6.55311   122.535   
6.59319   125.469   
6.63327   127.894   
6.67335   129.776   
6.71343   131.107   
6.75351   131.906   
6.79359   132.215   
6.83367   132.1   
6.87375   131.646   
6.91383   130.952   
6.95391   130.125   
6.99399   129.275   
7.03407   128.505   
7.07415   127.91   
7.11423   127.566   
7.15431   127.528   
7.19439   127.825   
7.23447   128.46   
7.27455   129.41   
7.31463   130.625   
7.35471   132.031   
7.39479   133.539   
7.43487   135.042   
7.47495   136.431   
7.51503   137.595   
7.55511   138.427   
7.59519   138.836   
7.63527   138.746   
7.67535   138.105   
7.71543   136.884   
7.75551   135.081   
7.79559   132.721   
7.83567   129.854   
7.87575   126.549   
7.91583   122.896   
7.95591   118.997   
7.99599   114.96   
8.03607   110.897   
8.07615   106.914   
8.11623   103.107   
8.15631   99.5605   
8.19639   96.3389   
8.23647   93.4871   
8.27655   91.0282   
8.31663   88.9632   
8.35671   87.2719   
8.39679   85.9152   
8.43687   84.8381   
8.47695   83.973   
8.51703   83.2444   
8.55711   82.5728   
8.59719   81.8798   
8.63727   81.0915   
8.67735   80.1429   
8.71743   78.9806   
8.75752   77.5653   
8.7976   75.8733   
8.83768   73.8971   
8.87776   71.6453   
8.91784   69.1411   
8.95792   66.421   
8.998   63.5325   
9.03808   60.5309   
9.07816   57.4764   
9.11824   54.4313   
9.15832   51.4565   
9.1984   48.6088   
9.23848   45.9384   
9.27856   43.4868   
9.31864   41.2854   
9.35872   39.3541   
9.3988   37.7014   
9.43888   36.3245   
9.47896   35.2097   
9.51904   34.3337   
9.55912   33.6656   
9.5992   33.168   
9.63928   32.7994   
9.67936   32.5165   
9.71944   32.2756   
9.75952   32.0352   
9.7996   31.7573   
9.83968   31.4092   
9.87976   30.9643   
9.91984   30.4029   
9.95992   29.7132   
10   28.8905   
